start,end,id,species,sr,db
8/5/2019 0:00:00,8/5/2019 1:00:00,3277,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 1:00:00,8/5/2019 2:00:00,3278,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 2:00:00,8/5/2019 3:00:00,3279,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 3:00:00,8/5/2019 4:00:00,3280,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 4:00:00,8/5/2019 5:00:00,3281,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 5:00:00,8/5/2019 6:00:00,3282,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 6:00:00,8/5/2019 7:00:00,3283,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 7:00:00,8/5/2019 8:00:00,3284,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 8:00:00,8/5/2019 9:00:00,3285,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 9:00:00,8/5/2019 10:00:00,3286,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 10:00:00,8/5/2019 11:00:00,3287,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 11:00:00,8/5/2019 12:00:00,3288,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 12:00:00,8/5/2019 13:00:00,3289,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 13:00:00,8/5/2019 14:00:00,3290,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 14:00:00,8/5/2019 15:00:00,3291,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 15:00:00,8/5/2019 16:00:00,3292,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 16:00:00,8/5/2019 17:00:00,3293,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 17:00:00,8/5/2019 18:00:00,3294,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 18:00:00,8/5/2019 19:00:00,3295,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 19:00:00,8/5/2019 20:00:00,3296,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 20:00:00,8/5/2019 21:00:00,3297,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 21:00:00,8/5/2019 22:00:00,3298,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 22:00:00,8/5/2019 23:00:00,3299,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 23:00:00,8/6/2019 0:00:00,3300,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 0:00:00,8/6/2019 1:00:00,3301,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 1:00:00,8/6/2019 2:00:00,3302,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 2:00:00,8/6/2019 3:00:00,3303,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 3:00:00,8/6/2019 4:00:00,3304,X999,144000,PAM20209_Zahn_narluga_kong.sqlite3
