start,end,id,species,sr,db
8/5/2019 0:00:00,8/5/2019 1:00:00,3277,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 1:00:00,8/5/2019 2:00:00,3278,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 2:00:00,8/5/2019 3:00:00,3279,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 3:00:00,8/5/2019 4:00:00,3280,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 4:00:00,8/5/2019 5:00:00,3281,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 5:00:00,8/5/2019 6:00:00,3282,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 6:00:00,8/5/2019 7:00:00,3283,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 7:00:00,8/5/2019 8:00:00,3284,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 8:00:00,8/5/2019 9:00:00,3285,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 9:00:00,8/5/2019 10:00:00,3286,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 10:00:00,8/5/2019 11:00:00,3287,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 11:00:00,8/5/2019 12:00:00,3288,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 12:00:00,8/5/2019 13:00:00,3289,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 13:00:00,8/5/2019 14:00:00,3290,X085,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 14:00:00,8/5/2019 15:00:00,3291,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 15:00:00,8/5/2019 16:00:00,3292,X085,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 16:00:00,8/5/2019 17:00:00,3293,X085,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 17:00:00,8/5/2019 18:00:00,3294,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 18:00:00,8/5/2019 19:00:00,3295,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 19:00:00,8/5/2019 20:00:00,3296,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 20:00:00,8/5/2019 21:00:00,3297,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 21:00:00,8/5/2019 22:00:00,3298,X085,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 22:00:00,8/5/2019 23:00:00,3299,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/5/2019 23:00:00,8/6/2019 0:00:00,3300,X085,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 0:00:00,8/6/2019 1:00:00,3301,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 1:00:00,8/6/2019 2:00:00,3302,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 2:00:00,8/6/2019 3:00:00,3303,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 3:00:00,8/6/2019 4:00:00,3304,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 4:00:00,8/6/2019 5:00:00,3305,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 5:00:00,8/6/2019 6:00:00,3306,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 6:00:00,8/6/2019 7:00:00,3307,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 7:00:00,8/6/2019 8:00:00,3308,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 8:00:00,8/6/2019 9:00:00,3309,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 9:00:00,8/6/2019 10:00:00,3310,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 10:00:00,8/6/2019 11:00:00,3311,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 11:00:00,8/6/2019 12:00:00,3312,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 12:00:00,8/6/2019 13:00:00,3313,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 13:00:00,8/6/2019 14:00:00,3314,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 14:00:00,8/6/2019 15:00:00,3315,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 15:00:00,8/6/2019 16:00:00,3316,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 16:00:00,8/6/2019 17:00:00,3317,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 17:00:00,8/6/2019 18:00:00,3318,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 18:00:00,8/6/2019 19:00:00,3319,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 19:00:00,8/6/2019 20:00:00,3320,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 20:00:00,8/6/2019 21:00:00,3321,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 21:00:00,8/6/2019 22:00:00,3322,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 22:00:00,8/6/2019 23:00:00,3323,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/6/2019 23:00:00,8/7/2019 0:00:00,3324,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 0:00:00,8/7/2019 1:00:00,3325,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 1:00:00,8/7/2019 2:00:00,3326,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 2:00:00,8/7/2019 3:00:00,3327,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 3:00:00,8/7/2019 4:00:00,3328,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 4:00:00,8/7/2019 5:00:00,3329,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 5:00:00,8/7/2019 6:00:00,3330,X085,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 6:00:00,8/7/2019 7:00:00,3331,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 7:00:00,8/7/2019 8:00:00,3332,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 8:00:00,8/7/2019 9:00:00,3333,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 9:00:00,8/7/2019 10:00:00,3334,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 10:00:00,8/7/2019 11:00:00,3335,X085,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 11:00:00,8/7/2019 12:00:00,3336,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 12:00:00,8/7/2019 13:00:00,3337,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 13:00:00,8/7/2019 14:00:00,3338,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 14:00:00,8/7/2019 15:00:00,3339,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 15:00:00,8/7/2019 16:00:00,3340,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 16:00:00,8/7/2019 17:00:00,3341,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 17:00:00,8/7/2019 18:00:00,3342,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 18:00:00,8/7/2019 19:00:00,3343,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 19:00:00,8/7/2019 20:00:00,3344,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 20:00:00,8/7/2019 21:00:00,3345,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 21:00:00,8/7/2019 22:00:00,3346,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 22:00:00,8/7/2019 23:00:00,3347,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/7/2019 23:00:00,8/8/2019 0:00:00,3348,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/8/2019 0:00:00,8/8/2019 1:00:00,3349,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/8/2019 1:00:00,8/8/2019 2:00:00,3350,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
8/8/2019 2:00:00,8/8/2019 3:00:00,3351,NOISE,144000,PAM20209_Zahn_narluga_kong.sqlite3
